INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
TechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,technology,year,minicam-energy-input,efficiency,market-name
India,industrial energy use,hydrogen,hydrogen,2100,H2 enduse,1.505262708,India
India,industrial energy use,refined liquids,refined liquids,2015,refined liquids industrial,0.995,India
India,industrial energy use,refined liquids,refined liquids,2020,refined liquids industrial,1.0945,India
India,industrial energy use,refined liquids,refined liquids,2025,refined liquids industrial,1.18206,India
India,industrial energy use,refined liquids,refined liquids,2030,refined liquids industrial,1.2529836,India
India,industrial energy use,refined liquids,refined liquids,2035,refined liquids industrial,1.303102944,India
India,industrial energy use,refined liquids,refined liquids,2040,refined liquids industrial,1.329165003,India
India,industrial energy use,refined liquids,refined liquids,2045,refined liquids industrial,1.342456653,India
India,industrial energy use,refined liquids,refined liquids,2050,refined liquids industrial,1.355881219,India
India,industrial energy use,refined liquids,refined liquids,2055,refined liquids industrial,1.369440032,India
India,industrial energy use,refined liquids,refined liquids,2060,refined liquids industrial,1.383134432,India
India,industrial energy use,refined liquids,refined liquids,2065,refined liquids industrial,1.396965776,India
India,industrial energy use,refined liquids,refined liquids,2070,refined liquids industrial,1.410935434,India
India,industrial energy use,refined liquids,refined liquids,2075,refined liquids industrial,1.425044788,India
India,industrial energy use,refined liquids,refined liquids,2080,refined liquids industrial,1.439295236,India
India,industrial energy use,refined liquids,refined liquids,2085,refined liquids industrial,1.453688189,India
India,industrial energy use,refined liquids,refined liquids,2090,refined liquids industrial,1.468225071,India
India,industrial energy use,refined liquids,refined liquids,2095,refined liquids industrial,1.482907321,India
India,industrial energy use,refined liquids,refined liquids,2100,refined liquids industrial,1.497736394,India
