INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
TechEff,,,,,,,
,,,,,,,
region,supplysector,subsector,technology,year,minicam-energy-input,efficiency,market-name
India,industrial energy use,hydrogen,hydrogen,2100,H2 enduse,1.902553975,India
India,industrial energy use,refined liquids,refined liquids,2015,refined liquids industrial,0.995,India
India,industrial energy use,refined liquids,refined liquids,2020,refined liquids industrial,1.0945,India
India,industrial energy use,refined liquids,refined liquids,2025,refined liquids industrial,1.1503305,India
India,industrial energy use,refined liquids,refined liquids,2030,refined liquids industrial,1.209008916,India
India,industrial energy use,refined liquids,refined liquids,2035,refined liquids industrial,1.270680522,India
India,industrial energy use,refined liquids,refined liquids,2040,refined liquids industrial,1.335497999,India
India,industrial energy use,refined liquids,refined liquids,2045,refined liquids industrial,1.403621819,India
India,industrial energy use,refined liquids,refined liquids,2050,refined liquids industrial,1.475220638,India
India,industrial energy use,refined liquids,refined liquids,2055,refined liquids industrial,1.512471808,India
India,industrial energy use,refined liquids,refined liquids,2060,refined liquids industrial,1.550663616,India
India,industrial energy use,refined liquids,refined liquids,2065,refined liquids industrial,1.589819816,India
India,industrial energy use,refined liquids,refined liquids,2070,refined liquids industrial,1.629964758,India
India,industrial energy use,refined liquids,refined liquids,2075,refined liquids industrial,1.671123411,India
India,industrial energy use,refined liquids,refined liquids,2080,refined liquids industrial,1.713321371,India
India,industrial energy use,refined liquids,refined liquids,2085,refined liquids industrial,1.756584883,India
India,industrial energy use,refined liquids,refined liquids,2090,refined liquids industrial,1.800940852,India
India,industrial energy use,refined liquids,refined liquids,2095,refined liquids industrial,1.846416866,India
India,industrial energy use,refined liquids,refined liquids,2100,refined liquids industrial,1.893041205,India
