# File: A44.demand_satiation_mult.csv
# Title: Assumed increase in demand of services in USA
# Units: Increase in demand per unit floorspace
# Column types: cn
# ----------
supplysector,multiplier
resid heating,1.1
resid cooling,1.1
resid others,0.4
comm heating,1.1
comm cooling,1.1
comm others,0.4
