# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,trn_pass_rail,electricity,trn_pass,electricity,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.514884643,0.547740187,0.570325372,0.590808489,0.64143538,0.665226907
India,trn_pass_rail,oil,trn_pass,refined liquids,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.312839835,1.352408765,1.405909994,1.459729077,1.494069902,1.519295912
India,trn_pass_road_bus,electricity,trn_pass_road,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_bus,gas,trn_pass_road,gas,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.835268628,0.975794062,1.092911284,1.173426517,1.241348107,1.313549831
India,trn_pass_road_bus,oil,trn_pass_road,refined liquids,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.042329227,1.132826371,1.222846362,1.305193813,1.344632131,1.437065108
India,trn_pass_road_LDV_2W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_2W,oil,trn_pass_road_LDV,refined liquids,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,14.07433737,15.29629878,16.51181942,17.62373826,18.15626461,19.40436593
India,trn_pass_road_LDV_3W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_3W,gas,trn_pass_road_LDV,gas,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.465849357,0.544223775,0.609542894,0.65444818,0.692329667,0.732598302
India,trn_pass_road_LDV_3W,oil,trn_pass_road_LDV,refined liquids,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,2.786596672,3.02853443,3.269196967,3.489347253,3.594782845,3.841896077
India,trn_pass_road_LDV_4W,electricity,trn_pass_road_LDV,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_4W,gas,trn_pass_road_LDV,gas,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.270559962,0.316078975,0.354015556,0.380096031,0.402097177,0.425484743
India,trn_pass_road_LDV_4W,hydrogen,trn_pass_road_LDV,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_LDV_4W,oil,trn_pass_road_LDV,refined liquids,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.833924458,8.834060713,9.60088811,10.36378177,11.06165166,11.39589167,12.17925108
India,trn_shipping_intl,oil,trn_shipping_intl,refined liquids,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.060461801,0.039302064,0.024871703,0.025067579,0.027491102,0.027999941
