# File: A10.EB_bld_SecFuel_mtoe.csv
# Title: Database of fuel consumption across sectors
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
India,Residential Rural,Other Oils,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.5575,0.5575,0.5575,0.5575,0.5575,0.5575
India,Residential Rural,Trad biomass_resid,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,117.7968,117.7968,117.7968,117.7968,117.7968,117.7968
India,Residential Urban,Coal and products,7.7613,7.5713,8.116,8.812,9.5531,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,10.7851,1.4324,1.4324,1.4324,1.4324,1.4324,1.4324
India,Residential Urban,Diesel and products,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.2129,0.2129,0.2129,0.2129,0.2129,0.2129
India,Residential Urban,Electricity,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,4.5639,5.0779,5.3414,5.712,6.253,7.7613,7.5713,8.116,8.812,9.5531,10.7851
India,Residential Urban,FuelWood,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.0501,0.0501,0.0501,0.0501,0.0501,0.0501
India,Residential Urban,LPG,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,10.1263,10.1263,10.1263,10.1263,10.1263,10.1263
India,Residential Urban,Natural gas,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.0736,0.662,0.662,0.662,0.662,0.662
India,Residential Urban,Other Oils,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.4546,0.4546,0.4546,0.4546,0.4546,0.4546
India,Residential Urban,Trad biomass_resid,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,15.3738,15.3738,15.3738,15.3738,15.3738,15.3738
